wavelength   n
1.365431e+00 2.482047e+00
1.366641e+00 2.482024e+00
1.367838e+00 2.482000e+00
1.369035e+00 2.481977e+00
1.370233e+00 2.481954e+00
1.371430e+00 2.481930e+00
1.372628e+00 2.481907e+00
1.373825e+00 2.481885e+00
1.375023e+00 2.481862e+00
1.376220e+00 2.481840e+00
1.377418e+00 2.481817e+00
1.378627e+00 2.481794e+00
1.379824e+00 2.481772e+00
1.381022e+00 2.481749e+00
1.382219e+00 2.481727e+00
1.383417e+00 2.481704e+00
1.384614e+00 2.481682e+00
1.385812e+00 2.481659e+00
1.387009e+00 2.481636e+00
1.388206e+00 2.481614e+00
1.389404e+00 2.481591e+00
1.390613e+00 2.481569e+00
1.391811e+00 2.481546e+00
1.393008e+00 2.481523e+00
1.394206e+00 2.481501e+00
1.395403e+00 2.481478e+00
1.396600e+00 2.481458e+00
1.397798e+00 2.481439e+00
1.398995e+00 2.481421e+00
1.400193e+00 2.481402e+00
1.401390e+00 2.481384e+00
1.402600e+00 2.481366e+00
1.403797e+00 2.481347e+00
1.404995e+00 2.481329e+00
1.406192e+00 2.481310e+00
1.407389e+00 2.481292e+00
1.408587e+00 2.481274e+00
1.409784e+00 2.481255e+00
1.410982e+00 2.481237e+00
1.412179e+00 2.481218e+00
1.413377e+00 2.481200e+00
1.414586e+00 2.481181e+00
1.415783e+00 2.481163e+00
1.416981e+00 2.481145e+00
1.418178e+00 2.481126e+00
1.419376e+00 2.481108e+00
1.420573e+00 2.481089e+00
1.421771e+00 2.481069e+00
1.422968e+00 2.481050e+00
1.424165e+00 2.481030e+00
1.425363e+00 2.481010e+00
1.426560e+00 2.480990e+00
1.427770e+00 2.480971e+00
1.428967e+00 2.480951e+00
1.430165e+00 2.480931e+00
1.431362e+00 2.480911e+00
1.432560e+00 2.480892e+00
1.433757e+00 2.480872e+00
1.434954e+00 2.480852e+00
1.436152e+00 2.480832e+00
1.437349e+00 2.480813e+00
1.438547e+00 2.480793e+00
1.439756e+00 2.480773e+00
1.440954e+00 2.480753e+00
1.442151e+00 2.480734e+00
1.443348e+00 2.480714e+00
1.444546e+00 2.480694e+00
1.445743e+00 2.480674e+00
1.446941e+00 2.480654e+00
1.448138e+00 2.480633e+00
1.449336e+00 2.480613e+00
1.450533e+00 2.480592e+00
1.451742e+00 2.480572e+00
1.452940e+00 2.480552e+00
1.454137e+00 2.480531e+00
1.455335e+00 2.480511e+00
1.456532e+00 2.480490e+00
1.457730e+00 2.480470e+00
1.458927e+00 2.480450e+00
1.460125e+00 2.480429e+00
1.461322e+00 2.480409e+00
1.462519e+00 2.480389e+00
1.463729e+00 2.480368e+00
1.464926e+00 2.480348e+00
1.466124e+00 2.480327e+00
1.467321e+00 2.480307e+00
1.468519e+00 2.480287e+00
1.469716e+00 2.480266e+00
1.470913e+00 2.480250e+00
1.472111e+00 2.480235e+00
1.473308e+00 2.480220e+00
1.474506e+00 2.480204e+00
1.475715e+00 2.480189e+00
1.476913e+00 2.480174e+00
1.478110e+00 2.480158e+00
1.479307e+00 2.480143e+00
1.480505e+00 2.480128e+00
1.481702e+00 2.480113e+00
1.482900e+00 2.480097e+00
1.484097e+00 2.480082e+00
1.485295e+00 2.480067e+00
1.486492e+00 2.480052e+00
1.487701e+00 2.480036e+00
1.488899e+00 2.480021e+00
1.490096e+00 2.480006e+00
1.491294e+00 2.479990e+00
1.492491e+00 2.479975e+00
1.493689e+00 2.479960e+00
1.494886e+00 2.479945e+00
1.496084e+00 2.479927e+00
1.497281e+00 2.479909e+00
1.498478e+00 2.479890e+00
1.499688e+00 2.479871e+00
1.500885e+00 2.479852e+00
1.502083e+00 2.479833e+00
1.503280e+00 2.479814e+00
1.504478e+00 2.479795e+00
1.505675e+00 2.479776e+00
1.506872e+00 2.479757e+00
1.508070e+00 2.479738e+00
1.509267e+00 2.479720e+00
1.510465e+00 2.479701e+00
1.511674e+00 2.479682e+00
1.512872e+00 2.479663e+00
1.514069e+00 2.479644e+00
1.515266e+00 2.479625e+00
1.516464e+00 2.479606e+00
1.517661e+00 2.479587e+00
1.518859e+00 2.479568e+00
1.520056e+00 2.479549e+00
1.521254e+00 2.479531e+00
1.522451e+00 2.479516e+00
1.523660e+00 2.479502e+00
1.524858e+00 2.479488e+00
1.526055e+00 2.479474e+00
1.527253e+00 2.479460e+00
1.528450e+00 2.479445e+00
1.529648e+00 2.479431e+00
1.530845e+00 2.479417e+00
1.532043e+00 2.479403e+00
1.533240e+00 2.479389e+00
1.534437e+00 2.479375e+00
