wavelength   n   k
1.116125e+00 2.488461e+00 1.544081e-02
1.117322e+00 2.488421e+00 1.544771e-02
1.118520e+00 2.488381e+00 1.545456e-02
1.119717e+00 2.488341e+00 1.546140e-02
1.120915e+00 2.488301e+00 1.546825e-02
1.122112e+00 2.488260e+00 1.547510e-02
1.123310e+00 2.488220e+00 1.548194e-02
1.124519e+00 2.488180e+00 1.548886e-02
1.125716e+00 2.488140e+00 1.549571e-02
1.126914e+00 2.488100e+00 1.550255e-02
1.128111e+00 2.488060e+00 1.550940e-02
1.129309e+00 2.488020e+00 1.551624e-02
1.130506e+00 2.487980e+00 1.552309e-02
1.131704e+00 2.487940e+00 1.552994e-02
1.132901e+00 2.487900e+00 1.553678e-02
1.134098e+00 2.487859e+00 1.554363e-02
1.135296e+00 2.487819e+00 1.555048e-02
1.136505e+00 2.487779e+00 1.555776e-02
1.137703e+00 2.487740e+00 1.556528e-02
1.138900e+00 2.487700e+00 1.557281e-02
1.140098e+00 2.487661e+00 1.558034e-02
1.141295e+00 2.487622e+00 1.558786e-02
1.142492e+00 2.487582e+00 1.559539e-02
1.143690e+00 2.487543e+00 1.560291e-02
1.144887e+00 2.487503e+00 1.561044e-02
1.146085e+00 2.487464e+00 1.561797e-02
1.147282e+00 2.487425e+00 1.562549e-02
1.148492e+00 2.487385e+00 1.563310e-02
1.149689e+00 2.487346e+00 1.564062e-02
1.150886e+00 2.487306e+00 1.564815e-02
1.152084e+00 2.487267e+00 1.565567e-02
1.153281e+00 2.487227e+00 1.566320e-02
1.154479e+00 2.487188e+00 1.567073e-02
1.155676e+00 2.487149e+00 1.567843e-02
1.156874e+00 2.487110e+00 1.568772e-02
1.158071e+00 2.487072e+00 1.569702e-02
1.159269e+00 2.487034e+00 1.570631e-02
1.160466e+00 2.486996e+00 1.571561e-02
1.161675e+00 2.486957e+00 1.572500e-02
1.162873e+00 2.486919e+00 1.573429e-02
1.164070e+00 2.486881e+00 1.574359e-02
1.165268e+00 2.486842e+00 1.575288e-02
1.166465e+00 2.486804e+00 1.576218e-02
1.167663e+00 2.486766e+00 1.577147e-02
1.168860e+00 2.486728e+00 1.578077e-02
1.170057e+00 2.486689e+00 1.579006e-02
1.171255e+00 2.486651e+00 1.579936e-02
1.172452e+00 2.486613e+00 1.580866e-02
1.173662e+00 2.486574e+00 1.581804e-02
1.174859e+00 2.486536e+00 1.582734e-02
1.176057e+00 2.486500e+00 1.583655e-02
1.177254e+00 2.486468e+00 1.584562e-02
1.178451e+00 2.486437e+00 1.585469e-02
1.179649e+00 2.486405e+00 1.586376e-02
1.180846e+00 2.486373e+00 1.587283e-02
1.182044e+00 2.486341e+00 1.588190e-02
1.183241e+00 2.486309e+00 1.589097e-02
1.184439e+00 2.486277e+00 1.590005e-02
1.185648e+00 2.486245e+00 1.590921e-02
