wavelength   n   k
4.919491e-01 2.574427e+00 2.979870e-02
4.919610e-01 2.574421e+00 2.979686e-02
4.919730e-01 2.574416e+00 2.979502e-02
4.919850e-01 2.574410e+00 2.979318e-02
4.919970e-01 2.574405e+00 2.979134e-02
4.920089e-01 2.574400e+00 2.978950e-02
4.920209e-01 2.574394e+00 2.978765e-02
4.920329e-01 2.574389e+00 2.978581e-02
4.920449e-01 2.574383e+00 2.978397e-02
4.920568e-01 2.574378e+00 2.978213e-02
4.920688e-01 2.574372e+00 2.978029e-02
4.920808e-01 2.574367e+00 2.977845e-02
4.920927e-01 2.574361e+00 2.977661e-02
4.921047e-01 2.574356e+00 2.977477e-02
4.921167e-01 2.574351e+00 2.977292e-02
4.921287e-01 2.574345e+00 2.977108e-02
4.921406e-01 2.574340e+00 2.976924e-02
4.921526e-01 2.574334e+00 2.976740e-02
4.921646e-01 2.574329e+00 2.976556e-02
4.921766e-01 2.574323e+00 2.976372e-02
4.921885e-01 2.574318e+00 2.976188e-02
4.922005e-01 2.574313e+00 2.976004e-02
4.922125e-01 2.574307e+00 2.975819e-02
4.922245e-01 2.574302e+00 2.975635e-02
4.922364e-01 2.574296e+00 2.975451e-02
4.922484e-01 2.574291e+00 2.975267e-02
4.922604e-01 2.574285e+00 2.975083e-02
4.922724e-01 2.574280e+00 2.974899e-02
4.922843e-01 2.574274e+00 2.974715e-02
4.922963e-01 2.574269e+00 2.974531e-02
4.923083e-01 2.574264e+00 2.974346e-02
4.923203e-01 2.574258e+00 2.974162e-02
4.923322e-01 2.574253e+00 2.973978e-02
4.923442e-01 2.574247e+00 2.973794e-02
4.923562e-01 2.574242e+00 2.973610e-02
4.923682e-01 2.574236e+00 2.973426e-02
4.923801e-01 2.574231e+00 2.973242e-02
4.923921e-01 2.574226e+00 2.973058e-02
4.924041e-01 2.574220e+00 2.972873e-02
4.924161e-01 2.574215e+00 2.972689e-02
4.924280e-01 2.574209e+00 2.972505e-02
4.924400e-01 2.574204e+00 2.972321e-02
4.924520e-01 2.574198e+00 2.972137e-02
4.924640e-01 2.574193e+00 2.971953e-02
4.924759e-01 2.574187e+00 2.971769e-02
4.924879e-01 2.574182e+00 2.971585e-02
4.924999e-01 2.574177e+00 2.971400e-02
4.925119e-01 2.574171e+00 2.971216e-02
4.925238e-01 2.574166e+00 2.971032e-02
4.925358e-01 2.574160e+00 2.970848e-02
4.925478e-01 2.574155e+00 2.970664e-02
4.925597e-01 2.574149e+00 2.970480e-02
4.925717e-01 2.574144e+00 2.970296e-02
4.925837e-01 2.574139e+00 2.970112e-02
4.925957e-01 2.574133e+00 2.969927e-02
4.926076e-01 2.574128e+00 2.969743e-02
4.926196e-01 2.574122e+00 2.969559e-02
4.926316e-01 2.574117e+00 2.969375e-02
4.926436e-01 2.574111e+00 2.969191e-02
4.926555e-01 2.574106e+00 2.969007e-02
4.926675e-01 2.574100e+00 2.968823e-02
4.926795e-01 2.574095e+00 2.968639e-02
4.926915e-01 2.574090e+00 2.968454e-02
4.927034e-01 2.574084e+00 2.968270e-02
4.927154e-01 2.574079e+00 2.968086e-02
4.927274e-01 2.574073e+00 2.967902e-02
4.927394e-01 2.574068e+00 2.967718e-02
4.927513e-01 2.574062e+00 2.967534e-02
4.927633e-01 2.574057e+00 2.967350e-02
4.927753e-01 2.574052e+00 2.967166e-02
4.927873e-01 2.574046e+00 2.966982e-02
4.927992e-01 2.574041e+00 2.966797e-02
4.928112e-01 2.574035e+00 2.966613e-02
4.928232e-01 2.574030e+00 2.966429e-02
4.928352e-01 2.574024e+00 2.966245e-02
4.928471e-01 2.574019e+00 2.966061e-02
4.928591e-01 2.574014e+00 2.965877e-02
4.928711e-01 2.574008e+00 2.965693e-02
4.928831e-01 2.574003e+00 2.965509e-02
4.928950e-01 2.573997e+00 2.965324e-02
4.929070e-01 2.573992e+00 2.965140e-02
4.929190e-01 2.573986e+00 2.964956e-02
4.929310e-01 2.573981e+00 2.964772e-02
4.929429e-01 2.573975e+00 2.964588e-02
4.929549e-01 2.573970e+00 2.964404e-02
4.929669e-01 2.573965e+00 2.964220e-02
4.929789e-01 2.573959e+00 2.964036e-02
4.929908e-01 2.573954e+00 2.963851e-02
4.930028e-01 2.573948e+00 2.963667e-02
4.930148e-01 2.573943e+00 2.963483e-02
4.930267e-01 2.573937e+00 2.963299e-02
4.930387e-01 2.573932e+00 2.963115e-02
4.930507e-01 2.573927e+00 2.962931e-02
4.930627e-01 2.573921e+00 2.962747e-02
4.930746e-01 2.573916e+00 2.962563e-02
4.930866e-01 2.573910e+00 2.962378e-02
4.930986e-01 2.573905e+00 2.962194e-02
4.931106e-01 2.573899e+00 2.962010e-02
4.931225e-01 2.573894e+00 2.961826e-02
4.931345e-01 2.573888e+00 2.961642e-02
4.931465e-01 2.573883e+00 2.961458e-02
4.931585e-01 2.573878e+00 2.961274e-02
4.931704e-01 2.573872e+00 2.961090e-02
4.931824e-01 2.573867e+00 2.960905e-02
4.931944e-01 2.573861e+00 2.960721e-02
4.932064e-01 2.573856e+00 2.960537e-02
4.932183e-01 2.573850e+00 2.960353e-02
4.932303e-01 2.573845e+00 2.960169e-02
4.932423e-01 2.573840e+00 2.959985e-02
4.932543e-01 2.573834e+00 2.959801e-02
4.932662e-01 2.573829e+00 2.959617e-02
4.932782e-01 2.573823e+00 2.959432e-02
4.932902e-01 2.573818e+00 2.959248e-02
4.933022e-01 2.573812e+00 2.959064e-02
4.933141e-01 2.573807e+00 2.958880e-02
4.933261e-01 2.573801e+00 2.958696e-02
4.933381e-01 2.573796e+00 2.958512e-02
4.933501e-01 2.573791e+00 2.958328e-02
4.933620e-01 2.573785e+00 2.958144e-02
4.933740e-01 2.573780e+00 2.957959e-02
4.933860e-01 2.573774e+00 2.957775e-02
4.933980e-01 2.573769e+00 2.957591e-02
4.934099e-01 2.573763e+00 2.957407e-02
4.934219e-01 2.573758e+00 2.957223e-02
4.934339e-01 2.573753e+00 2.957039e-02
4.934459e-01 2.573747e+00 2.956855e-02
4.934578e-01 2.573742e+00 2.956671e-02
4.934698e-01 2.573736e+00 2.956486e-02
4.934818e-01 2.573731e+00 2.956302e-02
4.934938e-01 2.573725e+00 2.956118e-02
4.935057e-01 2.573720e+00 2.955934e-02
4.935177e-01 2.573714e+00 2.955750e-02
4.935297e-01 2.573709e+00 2.955566e-02
4.935416e-01 2.573704e+00 2.955382e-02
4.935536e-01 2.573698e+00 2.955198e-02
4.935656e-01 2.573693e+00 2.955013e-02
4.935776e-01 2.573687e+00 2.954829e-02
4.935895e-01 2.573682e+00 2.954645e-02
4.936015e-01 2.573676e+00 2.954461e-02
4.936135e-01 2.573671e+00 2.954277e-02
4.936255e-01 2.573666e+00 2.954093e-02
4.936374e-01 2.573660e+00 2.953909e-02
4.936494e-01 2.573655e+00 2.953725e-02
4.936614e-01 2.573649e+00 2.953540e-02
4.936734e-01 2.573644e+00 2.953356e-02
4.936853e-01 2.573638e+00 2.953172e-02
4.936973e-01 2.573633e+00 2.952988e-02
4.937093e-01 2.573628e+00 2.952804e-02
4.937213e-01 2.573622e+00 2.952620e-02
4.937332e-01 2.573617e+00 2.952436e-02
4.937452e-01 2.573611e+00 2.952252e-02
4.937572e-01 2.573606e+00 2.952067e-02
4.937692e-01 2.573600e+00 2.951883e-02
4.937811e-01 2.573595e+00 2.951699e-02
4.937931e-01 2.573589e+00 2.951515e-02
4.938051e-01 2.573584e+00 2.951331e-02
4.938171e-01 2.573579e+00 2.951147e-02
4.938290e-01 2.573573e+00 2.950963e-02
4.938410e-01 2.573568e+00 2.950779e-02
4.938530e-01 2.573562e+00 2.950594e-02
4.938650e-01 2.573557e+00 2.950410e-02
4.938769e-01 2.573551e+00 2.950226e-02
4.938889e-01 2.573546e+00 2.950042e-02
4.939009e-01 2.573541e+00 2.949858e-02
4.939129e-01 2.573535e+00 2.949674e-02
4.939248e-01 2.573530e+00 2.949490e-02
4.939368e-01 2.573524e+00 2.949306e-02
4.939488e-01 2.573519e+00 2.949121e-02
4.939608e-01 2.573513e+00 2.948937e-02
4.939727e-01 2.573508e+00 2.948753e-02
4.939847e-01 2.573502e+00 2.948569e-02
4.939967e-01 2.573497e+00 2.948385e-02
4.940086e-01 2.573492e+00 2.948201e-02
4.940206e-01 2.573486e+00 2.948017e-02
4.940326e-01 2.573481e+00 2.947833e-02
4.940446e-01 2.573475e+00 2.947648e-02
4.940565e-01 2.573470e+00 2.947464e-02
4.940685e-01 2.573464e+00 2.947280e-02
4.940805e-01 2.573459e+00 2.947096e-02
4.940925e-01 2.573454e+00 2.946912e-02
4.941044e-01 2.573448e+00 2.946728e-02
4.941164e-01 2.573443e+00 2.946544e-02
4.941284e-01 2.573437e+00 2.946360e-02
4.941404e-01 2.573432e+00 2.946175e-02
4.941523e-01 2.573426e+00 2.945991e-02
4.941643e-01 2.573421e+00 2.945807e-02
4.941763e-01 2.573415e+00 2.945623e-02
4.941883e-01 2.573410e+00 2.945439e-02
4.942002e-01 2.573405e+00 2.945255e-02
4.942122e-01 2.573399e+00 2.945071e-02
4.942242e-01 2.573394e+00 2.944887e-02
4.942362e-01 2.573388e+00 2.944702e-02
4.942481e-01 2.573383e+00 2.944518e-02
4.942601e-01 2.573377e+00 2.944334e-02
4.942721e-01 2.573372e+00 2.944150e-02
4.942841e-01 2.573367e+00 2.943966e-02
4.942960e-01 2.573361e+00 2.943782e-02
4.943080e-01 2.573356e+00 2.943598e-02
4.943200e-01 2.573350e+00 2.943414e-02
4.943320e-01 2.573345e+00 2.943229e-02
4.943439e-01 2.573339e+00 2.943045e-02
4.943559e-01 2.573334e+00 2.942861e-02
4.943679e-01 2.573328e+00 2.942677e-02
4.943799e-01 2.573323e+00 2.942493e-02
4.943918e-01 2.573318e+00 2.942309e-02
4.944038e-01 2.573312e+00 2.942125e-02
4.944158e-01 2.573307e+00 2.941941e-02
4.944278e-01 2.573301e+00 2.941756e-02
4.944397e-01 2.573296e+00 2.941572e-02
4.944517e-01 2.573290e+00 2.941388e-02
4.944637e-01 2.573285e+00 2.941204e-02
4.944756e-01 2.573280e+00 2.941020e-02
4.944876e-01 2.573274e+00 2.940836e-02
4.944996e-01 2.573269e+00 2.940652e-02
4.945116e-01 2.573263e+00 2.940468e-02
4.945235e-01 2.573258e+00 2.940283e-02
4.945355e-01 2.573252e+00 2.940099e-02
4.945475e-01 2.573247e+00 2.939915e-02
4.945595e-01 2.573242e+00 2.939731e-02
4.945714e-01 2.573236e+00 2.939547e-02
4.945834e-01 2.573231e+00 2.939363e-02
4.945954e-01 2.573225e+00 2.939179e-02
4.946074e-01 2.573220e+00 2.938995e-02
4.946193e-01 2.573214e+00 2.938810e-02
4.946313e-01 2.573209e+00 2.938626e-02
4.946433e-01 2.573203e+00 2.938442e-02
4.946553e-01 2.573198e+00 2.938258e-02
4.946672e-01 2.573193e+00 2.938074e-02
4.946792e-01 2.573187e+00 2.937890e-02
4.946912e-01 2.573182e+00 2.937706e-02
4.947032e-01 2.573176e+00 2.937522e-02
4.947151e-01 2.573171e+00 2.937337e-02
4.947271e-01 2.573165e+00 2.937153e-02
4.947391e-01 2.573160e+00 2.936969e-02
4.947511e-01 2.573155e+00 2.936785e-02
4.947630e-01 2.573149e+00 2.936601e-02
4.947750e-01 2.573144e+00 2.936417e-02
4.947870e-01 2.573138e+00 2.936233e-02
4.947990e-01 2.573133e+00 2.936049e-02
4.948109e-01 2.573127e+00 2.935864e-02
4.948229e-01 2.573122e+00 2.935680e-02
4.948349e-01 2.573116e+00 2.935496e-02
